eth_address,amended_address,dot_balance,polkadot_address
0xcD17AAB6F8299d35bC11428093Bf1C4AE3B981F3,undefined,183523000000000,
0x16621a778E3533C0219Fa9Db54f2D65C1FfD978f,undefined,336306000000000,13rRG6Ky6y4rNh3NjoutPcA6sTkQxySXq1smskUGE99mk6Xe
0x00D559C543464fDea0Ec1795669C96182180B559,undefined,11286000000000,
0x1330b7402f677e3adC774d13164ebBD9066Ce181,undefined,45880000000000,
0xBC94540E69a5c2D5a2e8432E99D9a99D66265343,undefined,101396000000000,
0x8dD535c62fE25e520fB4beCc53D19d39f5d798C4,undefined,91761000000000,12dv7J8e3H7AFUE3EXnNaEw5Ur38S14o4vbXfj5YdWUBjUmu
0x129631915A3Ca10B9a159A7Dc95Bde0Ba71682D3,undefined,1101140000000000,16JCybAA88yQ9t8Cus4YhB5mT5DjyBxBLEgYPCpH8HjnePTq
0x00CDd4F0D8D858b122C56D54a8a719d7C76e4DB0,undefined,14324000000000,
0x0028B16BF35427a11760Cc5f4DB866Dd8127BE14,undefined,3119000000000,
0x005Ce603c14EE8349FAdd8888fF87d53d93fD43c,undefined,6239000000000,
0xd4b3731451de43Ad92166a9866cB90795B6C85be,undefined,31520000000000,
0x00887eb8f21035046af3C7f298fCe3bf38785d7E,undefined,45880000000000,
0xc7FB76d905102fBF68a981474Bd26e5FA4427790,undefined,18352000000000,
0x0054cf3827073C8663E5211e7aF6C63Ed4B0cEaC,undefined,707793000000000,
0x7C90efDe43639f566ed43d95D9f909697245aCaA,undefined,67582000000000,14BntvHD2BcxEZyHRp8v3bksmNai1D68L5pFdxPm456vf8QG
0x00443dD96337E1A0de0d5b909cA680F00Af85f45,undefined,146788000000000,
0x199A8bDf216604b7B05272240B71fab7597749F6,undefined,1262779000000000,
0x0054d65Ed11bf1E5ca7F22799D64D88E7e5c38EE,undefined,9176000000000,
0x001Ac6d62145C0Db63BaC474a8bf1Ac31aDE59B9,undefined,44412000000000,
0xe1B609382D115D355e65A0EA206290FbD6cCde06,undefined,531208000000000,12sAbjEcCt5fn3F2wwd9vHXdVB9ZEUUfQMCY2Fk2MUtGVJty
0xc1EFC49285Eb5Deda2Ac887d613242475ed15048,undefined,91761000000000,
0x85E96A824790B12fe512397506D97038500B861d,undefined,11415342000000000,
0x4d1F0E7d6941aC51e65fFCFBe8f84db0eF919f55,undefined,68821000000000,
0x005b2Da8bB885172492b3F57a510e3A90526c637,undefined,815761000000000,
0x001f7eEf6A5B727738156DEAe8F0604D92dF119c,undefined,45880000000000,
0x84256D81C1a191e6952C781f6A204626c6912B83,undefined,64233000000000,
0x8F60895FbEBbb5017fcBFf3CDda397292Bf25Ba6,undefined,681321000000000,
0x40692724326503b8Fdc8472Df7Ee658F4BdbFC89,undefined,711153000000000,12uyX8eYCMDxE7kHHpHzv6dddr7Zi6c2SNVV8F8sNZ4dLBh9
0x51E9EbAa1D6B6029c88a42bDffE81ab4956CC062,undefined,458808000000000,
0x00892b067f072E1F337B367C9A8d9eA968D4419d,undefined,45880000000000,
0x00c2E1891250427bEBE1e66C1d86D1ef010e4396,undefined,110114000000000,
0x0096B6577d9a53F506476C8Cc6212f947562cA4A,undefined,550570000000000,
0xABF9EEDde255d9FB1047d2F63970faF7637CE68d,undefined,4239000000000,
0xa2FB944Dd8930532d3Fb08109bD7A46cf07A75D0,undefined,101947000000000,12EyeFMLYWpTngJoYJDxwQFJ8zQ941iyc1e9w8u2QvwwZmJc
0x98b6371F584b45A302D9F09e8741C4F0E4526BFA,undefined,36704000000000,1TvrCR99vgZxUmfzAp56ZgU8UCrr7yMas7K6kbuQkjqMVRt
0xf77Fd2297cb28b7A104f3F4d47B19a50a1dDd451,undefined,91761000000000,
0x8A654566EDd646283C920e3225873fCa5370f489,undefined,83778000000000,
0x00fe2716ed876E1a4243333758d547131A98490A,undefined,917617000000000,13otn9N8jWTbThUHBUaPH78ffsk823XxqsErwRvaneCLnR8Q
0x1A249e3666698c434dB898A9AE29B64875638019,undefined,55057000000000,
0x00b67b5d99f7bd244faE58eBF86d35E38F72CC7D,undefined,87081000000000,16kokYp71Jd2DUkGCKRfaCa8EbNBKxNecbB7gxvAQc744cAf
0xb7067ad6eD9252Ea6d37ab1b78A62132bFC6340F,undefined,25693000000000,
0x009Bdf8DeD35fd7E2b8f649a808323978569e05A,undefined,15140000000000,
0x9D0D5Ff120f3d5A0daEc7eA328DbE9e682D0efd3,undefined,55057000000000,
